time [s],heart_rate [bpm] (/api/datatype/19/),breathing_rate [rpm] (/api/datatype/33/),cadence [spm] (/api/datatype/53/)cadence [spm] (/api/datatype/53/)
2021-08-06 07:51:30:042969,70,10,0
2021-08-06 07:51:31:042969,70,10,0
2021-08-06 07:51:32:042969,70,10,0
2021-08-06 07:51:33:042969,70,10,0
2021-08-06 07:51:34:042969,70,10,0
2021-08-06 07:51:35:042969,70,15,0
2021-08-06 07:51:36:042969,70,27,0
2021-08-06 07:51:37:042969,70,38,0
2021-08-06 07:51:38:042969,70,43,0
2021-08-06 07:51:39:042969,70,47,0
2021-08-06 07:51:40:042969,111,50,0
2021-08-06 07:51:41:042969,108,53,51
2021-08-06 07:51:42:042969,107,55,82
2021-08-06 07:51:43:042969,106,56,119
2021-08-06 07:51:44:042969,104,58,146
2021-08-06 07:51:45:042969,104,59,157
2021-08-06 07:51:46:042969,104,57,156
2021-08-06 07:51:47:042969,104,54,151
2021-08-06 07:51:48:042969,94,53,145
2021-08-06 07:51:49:042969,97,52,138
2021-08-06 07:51:50:042969,97,53,131
2021-08-06 07:51:51:042969,98,57,119
2021-08-06 07:51:52:042969,96,64,105
2021-08-06 07:51:53:042969,96,71,97
2021-08-06 07:51:54:042969,95,73,94
2021-08-06 07:51:55:042969,95,68,98
2021-08-06 07:51:56:042969,94,63,104
2021-08-06 07:51:57:042969,92,59,89
2021-08-06 07:51:58:042969,91,57,54
2021-08-06 07:51:59:042969,89,56,39
2021-08-06 07:52:00:042969,92,54,50
2021-08-06 07:52:01:042969,88,47,59
2021-08-06 07:52:02:042969,86,41,61
2021-08-06 07:52:03:042969,90,38,51
2021-08-06 07:52:04:042969,90,35,0
2021-08-06 07:52:05:042969,90,32,0
2021-08-06 07:52:06:042969,91,32,0
2021-08-06 07:52:07:042969,91,32,0
2021-08-06 07:52:08:042969,91,31,0
2021-08-06 07:52:09:042969,91,28,0
2021-08-06 07:52:10:042969,88,25,0
2021-08-06 07:52:11:042969,88,24,0
2021-08-06 07:52:12:042969,89,24,0
2021-08-06 07:52:13:042969,102,22,0
2021-08-06 07:52:14:042969,104,20,0
2021-08-06 07:52:15:042969,107,20,0
2021-08-06 07:52:16:042969,87,19,0
2021-08-06 07:52:17:042969,87,19,0
2021-08-06 07:52:18:042969,90,19,0
2021-08-06 07:52:19:042969,80,19,0
2021-08-06 07:52:20:042969,80,19,0
2021-08-06 07:52:21:042969,77,18,0
2021-08-06 07:52:22:042969,66,18,0
2021-08-06 07:52:23:042969,66,18,0
2021-08-06 07:52:24:042969,67,18,0
2021-08-06 07:52:25:042969,67,17,0
2021-08-06 07:52:26:042969,68,17,0
2021-08-06 07:52:27:042969,68,17,0
2021-08-06 07:52:28:042969,71,18,0
2021-08-06 07:52:29:042969,69,18,0
2021-08-06 07:52:30:042969,67,19,0
2021-08-06 07:52:31:042969,64,19,0
2021-08-06 07:52:32:042969,64,20,0
2021-08-06 07:52:33:042969,64,20,0
2021-08-06 07:52:34:042969,74,20,0
2021-08-06 07:52:35:042969,69,20,0
2021-08-06 07:52:36:042969,73,20,0
2021-08-06 07:52:37:042969,73,20,0
2021-08-06 07:52:38:042969,73,19,0
2021-08-06 07:52:39:042969,80,18,0
2021-08-06 07:52:40:042969,87,18,0
2021-08-06 07:52:41:042969,87,18,0
2021-08-06 07:52:42:042969,77,17,0
2021-08-06 07:52:43:042969,82,17,0
2021-08-06 07:52:44:042969,82,17,0
2021-08-06 07:52:45:042969,80,17,0
2021-08-06 07:52:46:042969,78,17,0
2021-08-06 07:52:47:042969,78,17,0
2021-08-06 07:52:48:042969,78,17,0
2021-08-06 07:52:49:042969,76,17,0
2021-08-06 07:52:50:042969,76,17,0
2021-08-06 07:52:51:042969,76,18,0
2021-08-06 07:52:52:042969,76,17,0
2021-08-06 07:52:53:042969,76,17,0
2021-08-06 07:52:54:042969,76,17,0
2021-08-06 07:52:55:042969,76,17,0
2021-08-06 07:52:56:042969,61,17,0
2021-08-06 07:52:57:042969,52,16,0
2021-08-06 07:52:58:042969,67,16,0
2021-08-06 07:52:59:042969,67,16,0
2021-08-06 07:53:00:042969,67,16,0
2021-08-06 07:53:01:042969,87,16,0
2021-08-06 07:53:02:042969,92,16,0
2021-08-06 07:53:03:042969,92,16,0
2021-08-06 07:53:04:042969,92,16,0
2021-08-06 07:53:05:042969,92,17,0
2021-08-06 07:53:06:042969,92,17,0
2021-08-06 07:53:07:042969,92,17,0
2021-08-06 07:53:08:042969,92,17,0
2021-08-06 07:53:09:042969,92,17,0
2021-08-06 07:53:10:042969,86,17,0
2021-08-06 07:53:11:042969,86,16,0
2021-08-06 07:53:12:042969,90,16,0
2021-08-06 07:53:13:042969,103,16,0
2021-08-06 07:53:14:042969,94,16,0
2021-08-06 07:53:15:042969,94,16,0
2021-08-06 07:53:16:042969,94,16,0
2021-08-06 07:53:17:042969,86,16,0
2021-08-06 07:53:18:042969,83,15,0
2021-08-06 07:53:19:042969,76,15,0
2021-08-06 07:53:20:042969,76,15,0
2021-08-06 07:53:21:042969,76,15,0
2021-08-06 07:53:22:042969,74,15,0
2021-08-06 07:53:23:042969,73,15,0
2021-08-06 07:53:24:042969,73,15,0
2021-08-06 07:53:25:042969,73,15,0
2021-08-06 07:53:26:042969,74,15,0
2021-08-06 07:53:27:042969,74,15,0
2021-08-06 07:53:28:042969,66,15,0
2021-08-06 07:53:29:042969,64,15,0
2021-08-06 07:53:30:042969,60,15,0
2021-08-06 07:53:31:042969,61,15,0
2021-08-06 07:53:32:042969,62,15,0
2021-08-06 07:53:33:042969,58,15,0
2021-08-06 07:53:34:042969,58,15,0
2021-08-06 07:53:35:042969,58,15,0
2021-08-06 07:53:36:042969,59,15,0
2021-08-06 07:53:37:042969,58,15,0
2021-08-06 07:53:38:042969,58,15,0
2021-08-06 07:53:39:042969,57,15,0
2021-08-06 07:53:40:042969,57,15,0
2021-08-06 07:53:41:042969,54,15,0
2021-08-06 07:53:42:042969,54,15,0
2021-08-06 07:53:43:042969,54,15,0
2021-08-06 07:53:44:042969,54,15,0
2021-08-06 07:53:45:042969,55,16,0
2021-08-06 07:53:46:042969,59,16,0
2021-08-06 07:53:47:042969,63,16,0
2021-08-06 07:53:48:042969,70,15,0
2021-08-06 07:53:49:042969,70,15,0
2021-08-06 07:53:50:042969,75,15,0
2021-08-06 07:53:51:042969,79,15,0
2021-08-06 07:53:52:042969,86,15,0
2021-08-06 07:53:53:042969,86,15,0
2021-08-06 07:53:54:042969,96,15,0
2021-08-06 07:53:55:042969,96,15,0
2021-08-06 07:53:56:042969,98,15,0
2021-08-06 07:53:57:042969,99,15,0
2021-08-06 07:53:58:042969,116,15,0
2021-08-06 07:53:59:042969,116,15,0
2021-08-06 07:54:00:042969,103,15,0
2021-08-06 07:54:01:042969,106,15,0
2021-08-06 07:54:02:042969,102,15,0
2021-08-06 07:54:03:042969,102,15,0
2021-08-06 07:54:04:042969,97,15,0
2021-08-06 07:54:05:042969,95,15,0
2021-08-06 07:54:06:042969,90,15,0
2021-08-06 07:54:07:042969,94,15,0
2021-08-06 07:54:08:042969,94,14,0
2021-08-06 07:54:09:042969,94,14,0
2021-08-06 07:54:10:042969,98,14,0
2021-08-06 07:54:11:042969,98,14,0
2021-08-06 07:54:12:042969,92,14,0
2021-08-06 07:54:13:042969,92,14,0
2021-08-06 07:54:14:042969,92,14,0
2021-08-06 07:54:15:042969,114,14,0
2021-08-06 07:54:16:042969,114,14,0
2021-08-06 07:54:17:042969,114,14,0
2021-08-06 07:54:18:042969,122,14,0
2021-08-06 07:54:19:042969,122,14,0
2021-08-06 07:54:20:042969,122,14,0
2021-08-06 07:54:21:042969,127,14,0
2021-08-06 07:54:22:042969,139,14,0
2021-08-06 07:54:23:042969,139,13,0
2021-08-06 07:54:24:042969,139,13,0
2021-08-06 07:54:25:042969,138,13,0
2021-08-06 07:54:26:042969,133,13,0
2021-08-06 07:54:27:042969,119,13,0
2021-08-06 07:54:28:042969,110,13,0
2021-08-06 07:54:29:042969,110,13,0
2021-08-06 07:54:30:042969,110,13,0
2021-08-06 07:54:31:042969,110,13,0
2021-08-06 07:54:32:042969,97,13,0
2021-08-06 07:54:33:042969,97,13,0
2021-08-06 07:54:34:042969,86,13,0
2021-08-06 07:54:35:042969,86,13,0
2021-08-06 07:54:36:042969,83,13,0
2021-08-06 07:54:37:042969,77,13,0
2021-08-06 07:54:38:042969,77,13,0
2021-08-06 07:54:39:042969,77,13,0
2021-08-06 07:54:40:042969,77,13,0
2021-08-06 07:54:41:042969,77,13,0
2021-08-06 07:54:42:042969,73,13,0
2021-08-06 07:54:43:042969,70,13,0
2021-08-06 07:54:44:042969,70,13,0
2021-08-06 07:54:45:042969,70,13,0
2021-08-06 07:54:46:042969,74,14,0
2021-08-06 07:54:47:042969,74,14,0
2021-08-06 07:54:48:042969,68,14,0
2021-08-06 07:54:49:042969,68,13,0
2021-08-06 07:54:50:042969,75,13,0
2021-08-06 07:54:51:042969,75,13,0
2021-08-06 07:54:52:042969,75,13,0
2021-08-06 07:54:53:042969,76,13,0
2021-08-06 07:54:54:042969,82,13,0
2021-08-06 07:54:55:042969,84,14,0
2021-08-06 07:54:56:042969,87,14,0
2021-08-06 07:54:57:042969,88,14,0
2021-08-06 07:54:58:042969,89,14,0
2021-08-06 07:54:59:042969,90,14,0
2021-08-06 07:55:00:042969,90,14,0
